From	To	Species	Gene Name
b0574	cusB	Escherichia coli str. K-12 substr. MG1655	copper/silver export system membrane fusion protein(cusB)
b1662	ribC	Escherichia coli str. K-12 substr. MG1655	riboflavin synthase(ribC)
b1260	trpA	Escherichia coli str. K-12 substr. MG1655	tryptophan synthase subunit alpha(trpA)
b1261	trpB	Escherichia coli str. K-12 substr. MG1655	tryptophan synthase subunit beta(trpB)
b1262	trpC	Escherichia coli str. K-12 substr. MG1655	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase(trpC)
b0173	dxr	Escherichia coli str. K-12 substr. MG1655	1-deoxy-D-xylulose 5-phosphate reductoisomerase(dxr)
b0171	pyrH	Escherichia coli str. K-12 substr. MG1655	UMP kinase(pyrH)
b1019	efeB	Escherichia coli str. K-12 substr. MG1655	heme-containing peroxidase/deferrochelatase(efeB)
b2103	thiD	Escherichia coli str. K-12 substr. MG1655	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase(thiD)
b0166	dapD	Escherichia coli str. K-12 substr. MG1655	tetrahydrodipicolinate succinylase(dapD)
b2587	kgtP	Escherichia coli str. K-12 substr. MG1655	alpha-ketoglutarate:H(+) symporter(kgtP)
b2104	thiM	Escherichia coli str. K-12 substr. MG1655	hydroxyethylthiazole kinase(thiM)
b1012	rutA	Escherichia coli str. K-12 substr. MG1655	pyrimidine monooxygenase RutA(rutA)
b1011	rutB	Escherichia coli str. K-12 substr. MG1655	ureidoacrylate amidohydrolase(rutB)
b1010	rutC	Escherichia coli str. K-12 substr. MG1655	3-aminoacrylate deaminase(rutC)
b3437	gntK	Escherichia coli str. K-12 substr. MG1655	D-gluconate kinase, thermostable(gntK)
b3679	yidK	Escherichia coli str. K-12 substr. MG1655	putative transporter YidK(yidK)
b2341	fadJ	Escherichia coli str. K-12 substr. MG1655	3-hydroxyacyl-CoA dehydrogenase FadJ(fadJ)
b1252	tonB	Escherichia coli str. K-12 substr. MG1655	Ton complex subunit TonB(tonB)
b3430	glgC	Escherichia coli str. K-12 substr. MG1655	glucose-1-phosphate adenylyltransferase(glgC)
b2342	fadI	Escherichia coli str. K-12 substr. MG1655	3-ketoacyl-CoA thiolase FadI(fadI)
b3431	glgX	Escherichia coli str. K-12 substr. MG1655	limit dextrin alpha-1,6-glucohydrolase(glgX)
b2585	pssA	Escherichia coli str. K-12 substr. MG1655	phosphatidylserine synthase(pssA)
b1015	putP	Escherichia coli str. K-12 substr. MG1655	proline:Na(+) symporter(putP)
b3432	glgB	Escherichia coli str. K-12 substr. MG1655	1,4-alpha-glucan branching enzyme(glgB)
b2344	fadL	Escherichia coli str. K-12 substr. MG1655	long-chain fatty acid outer membrane channel/bacteriophage T2 receptor(fadL)
b1014	putA	Escherichia coli str. K-12 substr. MG1655	fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA(putA)
b3433	asd	Escherichia coli str. K-12 substr. MG1655	aspartate-semialdehyde dehydrogenase(asd)
b1490	dosC	Escherichia coli str. K-12 substr. MG1655	diguanylate cyclase DosC(dosC)
b1250	kch	Escherichia coli str. K-12 substr. MG1655	K(+) channel Kch(kch)
b1492	gadC	Escherichia coli str. K-12 substr. MG1655	L-glutamate:4-aminobutyrate antiporter(gadC)
b3670	ilvN	Escherichia coli str. K-12 substr. MG1655	acetohydroxy acid synthase I subunit IlvN(ilvN)
b2582	trxC	Escherichia coli str. K-12 substr. MG1655	reduced thioredoxin 2(trxC)
b1493	gadB	Escherichia coli str. K-12 substr. MG1655	glutamate decarboxylase B(gadB)
b3671	ilvB	Escherichia coli str. K-12 substr. MG1655	acetohydroxy acid synthase I subunit IlvB(ilvB)
b0160	dgt	Escherichia coli str. K-12 substr. MG1655	dGTP triphosphohydrolase(dgt)
b1009	rutD	Escherichia coli str. K-12 substr. MG1655	putative aminoacrylate hydrolase RutD(rutD)
b1008	rutE	Escherichia coli str. K-12 substr. MG1655	putative malonic semialdehyde reductase(rutE)
b1007	rutF	Escherichia coli str. K-12 substr. MG1655	FMN reductase RutF(rutF)
b1249	clsA	Escherichia coli str. K-12 substr. MG1655	cardiolipin synthase A(clsA)
b3428	glgP	Escherichia coli str. K-12 substr. MG1655	glycogen phosphorylase(glgP)
b3429	glgA	Escherichia coli str. K-12 substr. MG1655	glycogen synthase(glgA)
b0155	clcA	Escherichia coli str. K-12 substr. MG1655	chloride:H(+) antiporter ClcA(clcA)
b4513	kdpF	Escherichia coli str. K-12 substr. MG1655	K(+) transporting P-type ATPase subunit KdpF(kdpF)
b1002	agp	Escherichia coli str. K-12 substr. MG1655	glucose-1-phosphatase(agp)
b1245	oppC	Escherichia coli str. K-12 substr. MG1655	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC(oppC)
b1487	ddpA	Escherichia coli str. K-12 substr. MG1655	putative D,D-dipeptide ABC transporter periplasmic binding protein(ddpA)
b3665	adeD	Escherichia coli str. K-12 substr. MG1655	adenine deaminase(adeD)
b0154	hemL	Escherichia coli str. K-12 substr. MG1655	glutamate-1-semialdehyde 2,1-aminomutase(hemL)
b1488	ddpX	Escherichia coli str. K-12 substr. MG1655	D-alanyl-D-alanine dipeptidase(ddpX)
b1246	oppD	Escherichia coli str. K-12 substr. MG1655	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppD(oppD)
b3666	uhpT	Escherichia coli str. K-12 substr. MG1655	hexose-6-phosphate:phosphate antiporter(uhpT)
b4515	cydX	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-I accessory subunit CydX(cydX)
b0153	fhuB	Escherichia coli str. K-12 substr. MG1655	iron(III) hydroxamate ABC transporter membrane subunit(fhuB)
b2578	eamB	Escherichia coli str. K-12 substr. MG1655	cysteine/O-acetylserine exporter EamB(eamB)
b1247	oppF	Escherichia coli str. K-12 substr. MG1655	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF(oppF)
b1489	dosP	Escherichia coli str. K-12 substr. MG1655	oxygen-sensing c-di-GMP phosphodiesterase DosP(dosP)
b3425	glpE	Escherichia coli str. K-12 substr. MG1655	thiosulfate sulfurtransferase GlpE(glpE)
b0394	mak	Escherichia coli str. K-12 substr. MG1655	fructokinase(mak)
b2579	grcA	Escherichia coli str. K-12 substr. MG1655	stress-induced alternate pyruvate formate-lyase subunit(grcA)
b0152	fhuD	Escherichia coli str. K-12 substr. MG1655	iron(III) hydroxamate ABC transporter periplasmic binding protein(fhuD)
b3426	glpD	Escherichia coli str. K-12 substr. MG1655	aerobic glycerol 3-phosphate dehydrogenase(glpD)
b0159	mtn	Escherichia coli str. K-12 substr. MG1655	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase(mtn)
b1006	rutG	Escherichia coli str. K-12 substr. MG1655	pyrimidine:H(+) symporter(rutG)
b1241	adhE	Escherichia coli str. K-12 substr. MG1655	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE(adhE)
b1483	ddpF	Escherichia coli str. K-12 substr. MG1655	putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF(ddpF)
b0158	btuF	Escherichia coli str. K-12 substr. MG1655	vitamin B12 ABC transporter periplasmic binding protein(btuF)
b1484	ddpD	Escherichia coli str. K-12 substr. MG1655	putative D,D-dipeptide ABC transporter ATP-binding subunit DdpD(ddpD)
b3662	nepI	Escherichia coli str. K-12 substr. MG1655	purine ribonucleoside exporter(nepI)
b2574	nadB	Escherichia coli str. K-12 substr. MG1655	L-aspartate oxidase(nadB)
b1004	wrbA	Escherichia coli str. K-12 substr. MG1655	NAD(P)H:quinone oxidoreductase(wrbA)
b1243	oppA	Escherichia coli str. K-12 substr. MG1655	oligopeptide ABC transporter periplasmic binding protein(oppA)
b1485	ddpC	Escherichia coli str. K-12 substr. MG1655	putative D,D-dipeptide ABC transporter membrane subunit DdpC(ddpC)
b1244	oppB	Escherichia coli str. K-12 substr. MG1655	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB(oppB)
b1486	ddpB	Escherichia coli str. K-12 substr. MG1655	putative D,D-dipeptide ABC transporter membrane subunit DdpB(ddpB)
b3664	adeQ	Escherichia coli str. K-12 substr. MG1655	adenine transporter(adeQ)
b0151	fhuC	Escherichia coli str. K-12 substr. MG1655	iron(III) hydroxamate ABC transporter ATP binding subunit(fhuC)
b0150	fhuA	Escherichia coli str. K-12 substr. MG1655	ferrichrome outer membrane transporter/phage receptor(fhuA)
b0149	mrcB	Escherichia coli str. K-12 substr. MG1655	PBP1Bgamma;peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB(mrcB)
b1238	tdk	Escherichia coli str. K-12 substr. MG1655	thymidine/deoxyuridine kinase(tdk)
b3416	malQ	Escherichia coli str. K-12 substr. MG1655	4-alpha-glucanotransferase(malQ)
b2328	mepA	Escherichia coli str. K-12 substr. MG1655	peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase(mepA)
b3417	malP	Escherichia coli str. K-12 substr. MG1655	maltodextrin phosphorylase(malP)
b2329	aroC	Escherichia coli str. K-12 substr. MG1655	chorismate synthase(aroC)
b2323	fabB	Escherichia coli str. K-12 substr. MG1655	3-oxoacyl-[acyl carrier protein] synthase 1(fabB)
b0386	proC	Escherichia coli str. K-12 substr. MG1655	pyrroline-5-carboxylate reductase(proC)
b3412	bioH	Escherichia coli str. K-12 substr. MG1655	pimeloyl-acyl carrier protein methyl ester esterase(bioH)
b1476	fdnI	Escherichia coli str. K-12 substr. MG1655	formate dehydrogenase N subunit gamma(fdnI)
b3654	xanP	Escherichia coli str. K-12 substr. MG1655	xanthine:H(+) symporter XanP(xanP)
b0142	folK	Escherichia coli str. K-12 substr. MG1655	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase(folK)
b1236	galU	Escherichia coli str. K-12 substr. MG1655	UTP--glucose-1-phosphate uridylyltransferase(galU)
b1478	adhP	Escherichia coli str. K-12 substr. MG1655	ethanol dehydrogenase/alcohol dehydrogenase(adhP)
b3656	yicI	Escherichia coli str. K-12 substr. MG1655	alpha-D-xyloside xylohydrolase(yicI)
b0383	phoA	Escherichia coli str. K-12 substr. MG1655	alkaline phosphatase(phoA)
b3415	gntT	Escherichia coli str. K-12 substr. MG1655	high-affinity gluconate transporter(gntT)
b1479	maeA	Escherichia coli str. K-12 substr. MG1655	malate dehydrogenase (oxaloacetate-decarboxylating)(maeA)
b3893	fdoH	Escherichia coli str. K-12 substr. MG1655	formate dehydrogenase O subunit beta(fdoH)
b3650	spoT	Escherichia coli str. K-12 substr. MG1655	bifunctional (p)ppGpp synthase/hydrolase SpoT(spoT)
b3892	fdoI	Escherichia coli str. K-12 substr. MG1655	formate dehydrogenase O subunit gamma(fdoI)
b2320	pdxB	Escherichia coli str. K-12 substr. MG1655	erythronate-4-phosphate dehydrogenase(pdxB)
b1473	yddG	Escherichia coli str. K-12 substr. MG1655	amino acid exporter YddG(yddG)
b2563	acpS	Escherichia coli str. K-12 substr. MG1655	holo-[acyl-carrier-protein] synthase(acpS)
b0388	aroL	Escherichia coli str. K-12 substr. MG1655	shikimate kinase 2(aroL)
b1232	purU	Escherichia coli str. K-12 substr. MG1655	formyltetrahydrofolate deformylase(purU)
b1474	fdnG	Escherichia coli str. K-12 substr. MG1655	formate dehydrogenase N subunit alpha(fdnG)
b3894	fdoG	Escherichia coli str. K-12 substr. MG1655	formate dehydrogenase O subunit alpha(fdoG)
b1475	fdnH	Escherichia coli str. K-12 substr. MG1655	formate dehydrogenase N subunit beta(fdnH)
b2564	pdxJ	Escherichia coli str. K-12 substr. MG1655	pyridoxine 5'-phosphate synthase(pdxJ)
b3653	gltS	Escherichia coli str. K-12 substr. MG1655	glutamate:sodium symporter(gltS)
b0381	ddlA	Escherichia coli str. K-12 substr. MG1655	D-alanine--D-alanine ligase A(ddlA)
b3409	feoB	Escherichia coli str. K-12 substr. MG1655	Fe(2(+)) transporter FeoB(feoB)
b2316	accD	Escherichia coli str. K-12 substr. MG1655	acetyl-CoA carboxyltransferase subunit beta(accD)
b2558	mltF	Escherichia coli str. K-12 substr. MG1655	membrane-bound lytic murein transglycosylase F(mltF)
b1469	narU	Escherichia coli str. K-12 substr. MG1655	nitrate/nitrite transporter NarU(narU)
b1227	narI	Escherichia coli str. K-12 substr. MG1655	nitrate reductase A subunit gamma(narI)
b3648	gmk	Escherichia coli str. K-12 substr. MG1655	guanylate kinase(gmk)
b2312	purF	Escherichia coli str. K-12 substr. MG1655	amidophosphoribosyltransferase(purF)
b0133	panC	Escherichia coli str. K-12 substr. MG1655	pantothenate synthetase(panC)
b2796	sdaC	Escherichia coli str. K-12 substr. MG1655	L-serine:H(+) symporter SdaC(sdaC)
b1223	narK	Escherichia coli str. K-12 substr. MG1655	nitrate:nitrite antiporter NarK(narK)
b1465	narV	Escherichia coli str. K-12 substr. MG1655	nitrate reductase Z subunit gamma(narV)
b3885	yihX	Escherichia coli str. K-12 substr. MG1655	alpha-D-glucose-1-phosphate phosphatase YihX(yihX)
b2797	sdaB	Escherichia coli str. K-12 substr. MG1655	L-serine deaminase II(sdaB)
b1224	narG	Escherichia coli str. K-12 substr. MG1655	nitrate reductase A subunit alpha(narG)
b1466	narW	Escherichia coli str. K-12 substr. MG1655	NarW, putative private chaperone for NarZ nitrate reductase subunit(narW)
b3403	pck	Escherichia coli str. K-12 substr. MG1655	phosphoenolpyruvate carboxykinase (ATP)(pck)
b0131	panD	Escherichia coli str. K-12 substr. MG1655	aspartate 1-decarboxylase proenzyme(panD)
b1225	narH	Escherichia coli str. K-12 substr. MG1655	nitrate reductase A subunit beta(narH)
b1467	narY	Escherichia coli str. K-12 substr. MG1655	nitrate reductase Z subunit beta(narY)
b2557	purL	Escherichia coli str. K-12 substr. MG1655	phosphoribosylformylglycinamide synthetase(purL)
b2799	fucO	Escherichia coli str. K-12 substr. MG1655	L-1,2-propanediol oxidoreductase(fucO)
b2315	folC	Escherichia coli str. K-12 substr. MG1655	bifunctional folylpolyglutamate synthetase/dihydrofolate synthetase(folC)
b1226	narJ	Escherichia coli str. K-12 substr. MG1655	nitrate reductase 1 molybdenum cofactor assembly chaperone(narJ)
b1468	narZ	Escherichia coli str. K-12 substr. MG1655	nitrate reductase Z subunit alpha(narZ)
b3882	yihU	Escherichia coli str. K-12 substr. MG1655	3-sulfolactaldehyde reductase(yihU)
b3881	yihT	Escherichia coli str. K-12 substr. MG1655	6-deoxy-6-sulfofructose-1-phosphate aldolase(yihT)
b3640	dut	Escherichia coli str. K-12 substr. MG1655	dUTP diphosphatase(dut)
b2551	glyA	Escherichia coli str. K-12 substr. MG1655	serine hydroxymethyltransferase(glyA)
b2310	argT	Escherichia coli str. K-12 substr. MG1655	lysine/arginine/ornithine ABC transporter periplasmic binding protein(argT)
b2552	hmp	Escherichia coli str. K-12 substr. MG1655	nitric oxide dioxygenase(hmp)
b1463	nhoA	Escherichia coli str. K-12 substr. MG1655	arylamine N-acetyltransferase(nhoA)
b2794	queF	Escherichia coli str. K-12 substr. MG1655	7-cyano-7-deazaguanine reductase(queF)
b3883	yihV	Escherichia coli str. K-12 substr. MG1655	6-deoxy-6-sulfofructose kinase(yihV)
b0134	panB	Escherichia coli str. K-12 substr. MG1655	3-methyl-2-oxobutanoate hydroxymethyltransferase(panB)
b0376	ampH	Escherichia coli str. K-12 substr. MG1655	peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase(ampH)
b3642	pyrE	Escherichia coli str. K-12 substr. MG1655	orotate phosphoribosyltransferase(pyrE)
b1858	znuC	Escherichia coli str. K-12 substr. MG1655	Zn(2(+)) ABC transporter ATP binding subunit(znuC)
b2705	srlD	Escherichia coli str. K-12 substr. MG1655	sorbitol-6-phosphate 2-dehydrogenase(srlD)
b2947	gshB	Escherichia coli str. K-12 substr. MG1655	glutathione synthetase(gshB)
b1616	uidB	Escherichia coli str. K-12 substr. MG1655	glucuronide:H(+) symporter(uidB)
b1859	znuB	Escherichia coli str. K-12 substr. MG1655	Zn(2(+)) ABC transporter membrane subunit(znuB)
b0767	pgl	Escherichia coli str. K-12 substr. MG1655	6-phosphogluconolactonase(pgl)
b1617	uidA	Escherichia coli str. K-12 substr. MG1655	beta-glucuronidase(uidA)
b0524	lpxH	Escherichia coli str. K-12 substr. MG1655	UDP-2,3-diacylglucosamine diphosphatase(lpxH)
b0766	ybhA	Escherichia coli str. K-12 substr. MG1655	pyridoxal phosphate/fructose-1,6-bisphosphate phosphatase(ybhA)
b0523	purE	Escherichia coli str. K-12 substr. MG1655	N(5)-carboxyaminoimidazole ribonucleotide mutase(purE)
b0765	modC	Escherichia coli str. K-12 substr. MG1655	molybdate ABC transporter ATP binding subunit(modC)
b2708	gutQ	Escherichia coli str. K-12 substr. MG1655	D-arabinose 5-phosphate isomerase GutQ(gutQ)
b1619	hdhA	Escherichia coli str. K-12 substr. MG1655	7-alpha-hydroxysteroid dehydrogenase(hdhA)
b1854	pykA	Escherichia coli str. K-12 substr. MG1655	pyruvate kinase 2(pykA)
b1612	fumA	Escherichia coli str. K-12 substr. MG1655	fumarase A(fumA)
b2701	mltB	Escherichia coli str. K-12 substr. MG1655	membrane-bound lytic murein transglycosylase B(mltB)
b2943	galP	Escherichia coli str. K-12 substr. MG1655	galactose:H(+) symporter(galP)
b1613	manA	Escherichia coli str. K-12 substr. MG1655	mannose-6-phosphate isomerase(manA)
b1855	lpxM	Escherichia coli str. K-12 substr. MG1655	Lipid A biosynthesis myristoyltransferase(lpxM)
b0529	folD	Escherichia coli str. K-12 substr. MG1655	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase(folD)
b2702	srlA	Escherichia coli str. K-12 substr. MG1655	sorbitol-specific PTS enzyme IIC2 component(srlA)
b1856	mepM	Escherichia coli str. K-12 substr. MG1655	peptidoglycan endopeptidase MepM(mepM)
b2703	srlE	Escherichia coli str. K-12 substr. MG1655	sorbitol-specific PTS enzyme IIBC1 component(srlE)
b1857	znuA	Escherichia coli str. K-12 substr. MG1655	Zn(2(+)) ABC transporter periplasmic binding protein(znuA)
b2704	srlB	Escherichia coli str. K-12 substr. MG1655	sorbitol-specific PTS enzyme IIA component(srlB)
b1850	eda	Escherichia coli str. K-12 substr. MG1655	KHG/KDPG aldolase(eda)
b1851	edd	Escherichia coli str. K-12 substr. MG1655	phosphogluconate dehydratase(edd)
b1852	zwf	Escherichia coli str. K-12 substr. MG1655	NADP(+)-dependent glucose-6-phosphate dehydrogenase(zwf)
b2700	pncC	Escherichia coli str. K-12 substr. MG1655	NMN aminohydrolase(pncC)
b2942	metK	Escherichia coli str. K-12 substr. MG1655	methionine adenosyltransferase(metK)
b1611	fumC	Escherichia coli str. K-12 substr. MG1655	fumarase C(fumC)
b0522	purK	Escherichia coli str. K-12 substr. MG1655	5-(carboxyamino)imidazole ribonucleotide synthase(purK)
b0764	modB	Escherichia coli str. K-12 substr. MG1655	molybdate ABC transporter membrane subunit(modB)
b0521	ybcF	Escherichia coli str. K-12 substr. MG1655	putative carbamate kinase(ybcF)
b0763	modA	Escherichia coli str. K-12 substr. MG1655	molybdate ABC transporter periplasmic binding protein(modA)
b0515	allE	Escherichia coli str. K-12 substr. MG1655	(S)-ureidoglycine aminohydrolase(allE)
b1605	ydgI	Escherichia coli str. K-12 substr. MG1655	putative arginine:ornithine antiporter(ydgI)
b0757	galK	Escherichia coli str. K-12 substr. MG1655	galactokinase(galK)
b0756	galM	Escherichia coli str. K-12 substr. MG1655	galactose-1-epimerase(galM)
b1606	folM	Escherichia coli str. K-12 substr. MG1655	dihydromonapterin reductase(folM)
b0514	glxK	Escherichia coli str. K-12 substr. MG1655	glycerate 2-kinase 2(glxK)
b2937	speB	Escherichia coli str. K-12 substr. MG1655	agmatinase(speB)
b0997	torA	Escherichia coli str. K-12 substr. MG1655	trimethylamine N-oxide reductase 1(torA)
b1849	purT	Escherichia coli str. K-12 substr. MG1655	phosphoribosylglycinamide formyltransferase 2(purT)
b0755	gpmA	Escherichia coli str. K-12 substr. MG1655	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase(gpmA)
b2938	speA	Escherichia coli str. K-12 substr. MG1655	biosynthetic arginine decarboxylase(speA)
b0996	torC	Escherichia coli str. K-12 substr. MG1655	cytochrome c menaquinol dehydrogenase TorC(torC)
b0512	allB	Escherichia coli str. K-12 substr. MG1655	allantoinase(allB)
b0754	aroG	Escherichia coli str. K-12 substr. MG1655	3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive(aroG)
b1601	tqsA	Escherichia coli str. K-12 substr. MG1655	autoinducer 2 exporter(tqsA)
b2933	cmtA	Escherichia coli str. K-12 substr. MG1655	mannitol-specific PTS enzyme IICB component CmtA(cmtA)
b1602	pntB	Escherichia coli str. K-12 substr. MG1655	pyridine nucleotide transhydrogenase subunit beta(pntB)
b0517	allD	Escherichia coli str. K-12 substr. MG1655	ureidoglycolate dehydrogenase(allD)
b1603	pntA	Escherichia coli str. K-12 substr. MG1655	pyridine nucleotide transhydrogenase subunit alpha(pntA)
b2934	cmtB	Escherichia coli str. K-12 substr. MG1655	mannitol-specific PTS enzyme IIA component CmtB(cmtB)
b0759	galE	Escherichia coli str. K-12 substr. MG1655	UDP-glucose 4-epimerase(galE)
b0516	allC	Escherichia coli str. K-12 substr. MG1655	allantoate amidohydrolase(allC)
b0758	galT	Escherichia coli str. K-12 substr. MG1655	galactose-1-phosphate uridylyltransferase(galT)
b2935	tktA	Escherichia coli str. K-12 substr. MG1655	transketolase 1(tktA)
b2930	yggF	Escherichia coli str. K-12 substr. MG1655	fructose 1,6-bisphosphatase YggF(yggF)
b1600	mdtJ	Escherichia coli str. K-12 substr. MG1655	multidrug/spermidine efflux pump membrane subunit MdtJ(mdtJ)
b0511	ybbW	Escherichia coli str. K-12 substr. MG1655	putative allantoin transporter(ybbW)
b0752	zitB	Escherichia coli str. K-12 substr. MG1655	Zn(2(+))/Cd(2(+))/Ni(2(+))/Cu(2(+)) exporter(zitB)
b0751	pnuC	Escherichia coli str. K-12 substr. MG1655	nicotinamide riboside transporter(pnuC)
b0750	nadA	Escherichia coli str. K-12 substr. MG1655	quinolinate synthase(nadA)
b0509	glxR	Escherichia coli str. K-12 substr. MG1655	tartronate semialdehyde reductase 2(glxR)
b2925	fbaA	Escherichia coli str. K-12 substr. MG1655	fructose-bisphosphate aldolase class II(fbaA)
b2926	pgk	Escherichia coli str. K-12 substr. MG1655	phosphoglycerate kinase(pgk)
b2927	epd	Escherichia coli str. K-12 substr. MG1655	D-erythrose-4-phosphate dehydrogenase(epd)
b0508	hyi	Escherichia coli str. K-12 substr. MG1655	hydroxypyruvate isomerase(hyi)
b1832	msrC	Escherichia coli str. K-12 substr. MG1655	free methionine-(R)-sulfoxide reductase(msrC)
b0507	gcl	Escherichia coli str. K-12 substr. MG1655	glyoxylate carboligase(gcl)
b2923	argO	Escherichia coli str. K-12 substr. MG1655	L-arginine exporter(argO)
b0505	allA	Escherichia coli str. K-12 substr. MG1655	ureidoglycolate lyase(allA)
b2924	mscS	Escherichia coli str. K-12 substr. MG1655	small conductance mechanosensitive channel MscS(mscS)
b0980	appA	Escherichia coli str. K-12 substr. MG1655	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase(appA)
b2920	scpC	Escherichia coli str. K-12 substr. MG1655	propionyl-CoA:succinate CoA transferase(scpC)
b2918	argK	Escherichia coli str. K-12 substr. MG1655	methylmalonyl-CoA mutase-interacting GTPase YgfD(argK)
b2919	scpB	Escherichia coli str. K-12 substr. MG1655	methylmalonyl-CoA decarboxylase(scpB)
b2914	rpiA	Escherichia coli str. K-12 substr. MG1655	ribose-5-phosphate isomerase A(rpiA)
b0734	cydB	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-I subunit 2(cydB)
b0733	cydA	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-I subunit 1(cydA)
b0732	mngB	Escherichia coli str. K-12 substr. MG1655	alpha-mannosidase(mngB)
b0974	hyaC	Escherichia coli str. K-12 substr. MG1655	hydrogenase 1 cytochrome b subunit(hyaC)
b2917	scpA	Escherichia coli str. K-12 substr. MG1655	methylmalonyl-CoA mutase(scpA)
b1821	mntP	Escherichia coli str. K-12 substr. MG1655	Mn(2(+)) exporter(mntP)
b2912	fau	Escherichia coli str. K-12 substr. MG1655	putative 5-formyltetrahydrofolate cyclo-ligase(fau)
b0979	appB	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II subunit 2(appB)
b2913	serA	Escherichia coli str. K-12 substr. MG1655	phosphoglycerate dehydrogenase(serA)
b0978	appC	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II subunit 1(appC)
b0731	mngA	Escherichia coli str. K-12 substr. MG1655	2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II(mngA)
b0973	hyaB	Escherichia coli str. K-12 substr. MG1655	hydrogenase 1 large subunit(hyaB)
b0972	hyaA	Escherichia coli str. K-12 substr. MG1655	hydrogenase 1 small subunit(hyaA)
b2507	guaA	Escherichia coli str. K-12 substr. MG1655	GMP synthetase(guaA)
b2508	guaB	Escherichia coli str. K-12 substr. MG1655	inosine 5'-monophosphate dehydrogenase(guaB)
b0325	yahK	Escherichia coli str. K-12 substr. MG1655	aldehyde reductase, NADPH-dependent(yahK)
b2503	pdeF	Escherichia coli str. K-12 substr. MG1655	cyclic di-GMP phosphodiesterase PdeF(pdeF)
b1656	sodB	Escherichia coli str. K-12 substr. MG1655	superoxide dismutase (Fe)(sodB)
b2987	pitB	Escherichia coli str. K-12 substr. MG1655	metal phosphate:H(+) symporter PitB(pitB)
b2746	ispF	Escherichia coli str. K-12 substr. MG1655	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase(ispF)
b2988	gss	Escherichia coli str. K-12 substr. MG1655	fused glutathionylspermidine amidase/glutathionylspermidine synthetase(gss)
b1415	aldA	Escherichia coli str. K-12 substr. MG1655	aldehyde dehydrogenase A(aldA)
b2747	ispD	Escherichia coli str. K-12 substr. MG1655	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase(ispD)
b2989	yghU	Escherichia coli str. K-12 substr. MG1655	disulfide reductase/organic hydroperoxide reductase(yghU)
b3831	udp	Escherichia coli str. K-12 substr. MG1655	uridine phosphorylase(udp)
b2500	purN	Escherichia coli str. K-12 substr. MG1655	phosphoribosylglycinamide formyltransferase 1(purN)
b1896	otsA	Escherichia coli str. K-12 substr. MG1655	trehalose-6-phosphate synthase(otsA)
b3833	ubiE	Escherichia coli str. K-12 substr. MG1655	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase(ubiE)
b2501	ppk	Escherichia coli str. K-12 substr. MG1655	polyphosphate kinase(ppk)
b1654	grxD	Escherichia coli str. K-12 substr. MG1655	glutaredoxin 4(grxD)
b1897	otsB	Escherichia coli str. K-12 substr. MG1655	trehalose-6-phosphate phosphatase(otsB)
b2502	ppx	Escherichia coli str. K-12 substr. MG1655	exopolyphosphatase(ppx)
b2744	umpG	Escherichia coli str. K-12 substr. MG1655	broad specificity 5'(3')-nucleotidase and polyphosphatase(umpG)
b1655	mepH	Escherichia coli str. K-12 substr. MG1655	peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase MepH(mepH)
b1651	gloA	Escherichia coli str. K-12 substr. MG1655	lactoylglutathione lyase(gloA)
b2738	ygbL	Escherichia coli str. K-12 substr. MG1655	putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL(ygbL)
b0315	pdeL	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional regulator/c-di-GMP phosphodiesterase PdeL(pdeL)
